"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test","This will create a new User","SUCCESS","2022-06-05T10:38:46.698+02:00[Europe/Paris]","0.0","3.52"
"User CRUD test","This will Fetch user by ID","SUCCESS","2022-06-05T10:38:50.231+02:00[Europe/Paris]","0.0","0.66"
"User CRUD test","This will Fetch user by ID","SUCCESS","2022-06-05T10:38:50.903+02:00[Europe/Paris]","0.0","0.64"
"User CRUD test","This will Delete user by ID","SUCCESS","2022-06-05T10:38:51.545+02:00[Europe/Paris]","0.0","1.28"
